LON,LAT,EDO,CLAVE,ESTACION,feb-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",0
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",121.71
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",4.6
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",18.39
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",132.21
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",198.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",105.23
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",112.62
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",112.62
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",162
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",10.93
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",8.61
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",107.6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",6.02
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",89
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",369.2
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",142.5
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",102
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",1.04
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.02
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.2
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.4
