LON,LAT,EDO,CLAVE,ESTACION,sep-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",78.6
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",118.5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",54.1
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",54.97
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",128
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",92.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",86.7
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",59.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",35.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",67.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",83.63
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",83.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",48.8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",48.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",33
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",43.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",90.7
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",56.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",90
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",55
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",97
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",61.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",1.9
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0.4
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",4.06
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",3
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",5.8
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",8.51
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",3.72
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",1.2
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",3.72
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",33.11
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",10.8
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",1.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",2.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",3.1
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",22
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",73.7
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",20
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",3
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",124.04
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",49.22
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",24.2
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",51
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",135.51
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",142.7
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",130.51
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",1.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",179
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",184.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",45
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",174.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",189.3
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",20.4
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",4
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",220.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",230.31
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",167.06
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",138
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",202
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",173.73
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",199.9
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",136.52
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",226
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",244.52
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",194.8
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",45.01
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",441.8
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",169.72
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",110.8
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",115.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",165.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",197
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",150.52
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",74.02
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",29.5
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",81
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",50
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",175.3
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",131.82
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",165.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",28.05
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",62.48
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",72.6
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",191.99
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",46.3
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",107.51
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",114.53
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",100
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",139
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",90.65
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",56.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",100
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",41.42
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",107.32
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",178
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",19
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",23.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",104.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",136.2
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",76.56
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",50.29
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",233.8
-104.43,29.583333,CHIH,OjinagaC,"Ojinaga Río Conchos, Chih. CILA*",20.25
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",17.72
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",45.07
-104.74,29.5,CHIH,Peguis,"Pegüis, Chih. SGT*",32.75
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",144.63
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",90.65
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",207.7
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",168.51
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",50
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",71.64
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",107.34
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",145.61
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",55.18
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",99.02
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",138
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",141.01
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",249.91
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",179.21
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",50.5
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",185.2
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",755.44
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",170.02
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",132.6
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",218.7
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",326.2
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",385.5
