LON,LAT,EDO,CLAVE,ESTACION,may-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",19.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",18.8
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",14.1
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",12.14
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",18.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",14.3
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",7.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",16.1
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",11
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",13.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",16.8
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",34.3
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",27
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",16
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",14
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",11.3
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",16.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",13.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",16.5
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",9
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",19
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",46.8
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.5
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",3.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.5
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.5
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",1
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0.01
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.8
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",364.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",127.51
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",123.71
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",84.51
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",102
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",119.62
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",56.43
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",160
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",98
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",170.41
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",121.9
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",323.21
