LON,LAT,EDO,CLAVE,ESTACION,dic-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",9.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",30.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",3
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",10.83
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",9.1
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",12.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",6.8
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",9.8
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",6
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",1.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",12.7
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",9.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",11.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",10.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",8
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",2.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",3
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",8.9
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",7
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",12
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",15.4
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",10.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",13.92
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",10.91
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",16.7
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",16.7
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",18.2
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.02
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",6.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",20.1
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",15
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.3
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",17.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",3.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",3
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",2.6
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",6.3
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",11.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",4
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",4
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
