LON,LAT,EDO,CLAVE,ESTACION,oct-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",49.4
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",50.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",59
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",72.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",59.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",57.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",76.3
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",60.8
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",23.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",40.73
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",62.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",45.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",77.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",54
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",19.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",19
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",36.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",47.5
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",51
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",85.9
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",3.62
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",2.27
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",5.7
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",6.3
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.01
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",4.6
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",5.51
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",10.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",3.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.4
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0.01
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",3.3
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",2.8
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",5.52
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.2
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",2
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",13
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",3
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",1
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",3.21
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.02
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",62.01
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",76.2
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",371.71
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",66.02
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",66.01
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",182.4
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",70.5
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",152.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",140
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",76.5
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",53.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",196
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",154
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",76.5
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",137
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",40
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",89.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",64
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",60.92
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",7
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",8
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",28.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",12.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",56.55
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",97.73
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",66.79
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",50.52
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",24.63
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",21.46
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",51.8
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",22
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",8.72
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",18.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",26.6
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",17.21
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",59.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",24.38
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",15.93
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",4.82
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",21
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",24
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",24.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",97
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",38.51
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",12.45
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",52.8
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",24.51
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",39.11
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",21.75
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",16.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",32.83
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",47.85
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",44.6
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",21.42
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",57.02
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",14.7
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",45.03
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",26
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",54.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",199.8
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",42
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",66.8
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",271.9
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",255.5
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",62.4
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",55
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",128.3
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",345
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",84.8
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",34
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",359.6
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",250.8
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",836.8
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",59.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",112
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",101
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",108.02
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",57.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",61
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",57.43
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",117.7
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",35.1
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",102
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",285.8
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",53.6
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",52.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",78
