LON,LAT,EDO,CLAVE,ESTACION,jul-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",133.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",160.4
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",51.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",148
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",98.36
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",62.4
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",71.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",83.56
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",34.1
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",52.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",35
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",124.31
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",109.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",13.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",97.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",38
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",11.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",32.6
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",51.3
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",122.7
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",69
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",59
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",13
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.02
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",22.92
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.25
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",8.52
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1.8
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",5
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",2.54
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",1.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.01
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",11
