LON,LAT,EDO,CLAVE,ESTACION,nov-23
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",69.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",45.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",56
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",17.83
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",36.1
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",82
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",56.82
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",60.42
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",61.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",63.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",50.97
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",62.03
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",82
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",53.83
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",59
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",62.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",51.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",61.11
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",52.62
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",57
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",47
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",67.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",18.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",35.9
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",47.51
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",22.32
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",25
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2.9
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",38.5
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",4.06
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",3.9
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",13.8
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.8
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",32.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",23.91
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",34
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",11.8
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",24.8
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",17.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",3.21
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",1.3
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",4.52
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.53
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",4
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",4.6
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.83
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.61
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",2.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",2.54
